"Type","Distribution","nvess","OVL","MSRE","SDSRE"
"Subsamples","Gamma",75,82.1095168866707,0.0146220204762071,0.190181342788131
"Subsamples","Gamma",100,85.4842559619374,-0.00156819880890366,0.158657054201888
"Subsamples","Gamma",150,89.303987069853,0.0096299050883929,0.113721098925037
"Subsamples","Gamma",250,92.019826494113,0.0155015376207144,0.0814681789811369
"Subsamples","Gamma",500,94.6290750807693,0.000499195353576314,0.0618631456615942
"Subsamples","Weibull",50,76.9860638071764,-0.00450530897567243,0.19614986731238
"Subsamples","Weibull",75,85.7367104,0.00168294538229845,0.136783504625318
"Subsamples","Weibull",100,87.3802401,0.00982600280128334,0.125451384181909
"Subsamples","Weibull",150,90.9965505006053,0.00521434195219482,0.112086246124881
"Subsamples","Weibull",250,93.3486631,0.00488386663222022,0.0789596394070697
"Subsamples","Weibull",500,94.8090368,0.00684501407101806,0.0631563624884768
"Subsamples","Log-normal",50,78.319765688914,0.00523106426656473,0.184545140835883
"Subsamples","Log-normal",75,85.0205533559548,0.019626504463816,0.129177980056157
"Subsamples","Log-normal",100,89.2076864360533,0.00253453938519329,0.116796521176772
"Subsamples","Log-normal",150,92.1258203491835,0.00700944330713627,0.0856960658127934
"Subsamples","Log-normal",250,93.6996662519606,-0.00292069281956418,0.071665998911098
"Subsamples","Log-normal",500,95.229878637263,0.00951866763862562,0.0495103309476092
