"code","distribution","ncuts","ncond","run","truemean","trueshape","truesdlog"
"exp_cut005_cond150_rep052","exponential",5,150,52,15.9393939393939,NA,NA
"exp_cut005_cond150_rep053","exponential",5,150,53,16.2323232323232,NA,NA
"exp_cut005_cond150_rep054","exponential",5,150,54,16.5252525252525,NA,NA
"exp_cut005_cond150_rep055","exponential",5,150,55,16.8181818181818,NA,NA
"exp_cut005_cond150_rep056","exponential",5,150,56,17.1111111111111,NA,NA
"exp_cut005_cond150_rep057","exponential",5,150,57,17.4040404040404,NA,NA
"exp_cut005_cond150_rep058","exponential",5,150,58,17.6969696969697,NA,NA
"exp_cut005_cond150_rep059","exponential",5,150,59,17.989898989899,NA,NA
"exp_cut005_cond150_rep060","exponential",5,150,60,18.2828282828283,NA,NA
"exp_cut005_cond150_rep061","exponential",5,150,61,18.5757575757576,NA,NA
"exp_cut005_cond150_rep062","exponential",5,150,62,18.8686868686869,NA,NA
"exp_cut005_cond150_rep063","exponential",5,150,63,19.1616161616162,NA,NA
"exp_cut005_cond150_rep064","exponential",5,150,64,19.4545454545455,NA,NA
"exp_cut005_cond150_rep065","exponential",5,150,65,19.7474747474747,NA,NA
"exp_cut005_cond150_rep066","exponential",5,150,66,20.040404040404,NA,NA
"exp_cut005_cond150_rep067","exponential",5,150,67,20.3333333333333,NA,NA
"exp_cut005_cond150_rep068","exponential",5,150,68,20.6262626262626,NA,NA
"exp_cut005_cond150_rep069","exponential",5,150,69,20.9191919191919,NA,NA
"exp_cut005_cond150_rep070","exponential",5,150,70,21.2121212121212,NA,NA
"exp_cut005_cond150_rep071","exponential",5,150,71,21.5050505050505,NA,NA
"exp_cut005_cond150_rep072","exponential",5,150,72,21.7979797979798,NA,NA
"exp_cut005_cond150_rep073","exponential",5,150,73,22.0909090909091,NA,NA
"exp_cut005_cond150_rep074","exponential",5,150,74,22.3838383838384,NA,NA
"exp_cut005_cond150_rep075","exponential",5,150,75,22.6767676767677,NA,NA
"exp_cut005_cond150_rep076","exponential",5,150,76,22.969696969697,NA,NA
"exp_cut005_cond150_rep077","exponential",5,150,77,23.2626262626263,NA,NA
"exp_cut005_cond150_rep078","exponential",5,150,78,23.5555555555556,NA,NA
"exp_cut005_cond150_rep079","exponential",5,150,79,23.8484848484848,NA,NA
"exp_cut005_cond150_rep080","exponential",5,150,80,24.1414141414141,NA,NA
"exp_cut005_cond150_rep081","exponential",5,150,81,24.4343434343434,NA,NA
"exp_cut005_cond150_rep082","exponential",5,150,82,24.7272727272727,NA,NA
"exp_cut005_cond150_rep083","exponential",5,150,83,25.020202020202,NA,NA
"exp_cut005_cond150_rep084","exponential",5,150,84,25.3131313131313,NA,NA
"exp_cut005_cond150_rep085","exponential",5,150,85,25.6060606060606,NA,NA
"exp_cut005_cond150_rep086","exponential",5,150,86,25.8989898989899,NA,NA
"exp_cut005_cond150_rep087","exponential",5,150,87,26.1919191919192,NA,NA
"exp_cut005_cond150_rep088","exponential",5,150,88,26.4848484848485,NA,NA
"exp_cut005_cond150_rep089","exponential",5,150,89,26.7777777777778,NA,NA
"exp_cut005_cond150_rep090","exponential",5,150,90,27.0707070707071,NA,NA
"exp_cut005_cond150_rep091","exponential",5,150,91,27.3636363636364,NA,NA
"exp_cut005_cond150_rep092","exponential",5,150,92,27.6565656565657,NA,NA
"exp_cut005_cond150_rep093","exponential",5,150,93,27.9494949494949,NA,NA
"exp_cut005_cond150_rep094","exponential",5,150,94,28.2424242424242,NA,NA
"exp_cut005_cond150_rep095","exponential",5,150,95,28.5353535353535,NA,NA
"exp_cut005_cond150_rep096","exponential",5,150,96,28.8282828282828,NA,NA
"exp_cut005_cond150_rep097","exponential",5,150,97,29.1212121212121,NA,NA
"exp_cut005_cond150_rep098","exponential",5,150,98,29.4141414141414,NA,NA
"exp_cut005_cond150_rep099","exponential",5,150,99,29.7070707070707,NA,NA
"exp_cut005_cond150_rep100","exponential",5,150,100,30,NA,NA
"exp_cut005_cond200_rep001","exponential",5,200,1,1,NA,NA
"exp_cut005_cond200_rep002","exponential",5,200,2,1.29292929292929,NA,NA
"exp_cut005_cond200_rep003","exponential",5,200,3,1.58585858585859,NA,NA
"exp_cut005_cond200_rep004","exponential",5,200,4,1.87878787878788,NA,NA
"exp_cut005_cond200_rep005","exponential",5,200,5,2.17171717171717,NA,NA
"exp_cut005_cond200_rep006","exponential",5,200,6,2.46464646464646,NA,NA
"exp_cut005_cond200_rep007","exponential",5,200,7,2.75757575757576,NA,NA
"exp_cut005_cond200_rep008","exponential",5,200,8,3.05050505050505,NA,NA
"exp_cut005_cond200_rep009","exponential",5,200,9,3.34343434343434,NA,NA
"exp_cut005_cond200_rep010","exponential",5,200,10,3.63636363636364,NA,NA
"exp_cut005_cond200_rep011","exponential",5,200,11,3.92929292929293,NA,NA
"exp_cut005_cond200_rep012","exponential",5,200,12,4.22222222222222,NA,NA
"exp_cut005_cond200_rep013","exponential",5,200,13,4.51515151515152,NA,NA
"exp_cut005_cond200_rep014","exponential",5,200,14,4.80808080808081,NA,NA
"exp_cut005_cond200_rep015","exponential",5,200,15,5.1010101010101,NA,NA
"exp_cut005_cond200_rep016","exponential",5,200,16,5.39393939393939,NA,NA
"exp_cut005_cond200_rep017","exponential",5,200,17,5.68686868686869,NA,NA
"exp_cut005_cond200_rep018","exponential",5,200,18,5.97979797979798,NA,NA
"exp_cut005_cond200_rep019","exponential",5,200,19,6.27272727272727,NA,NA
"exp_cut005_cond200_rep020","exponential",5,200,20,6.56565656565657,NA,NA
"exp_cut005_cond200_rep021","exponential",5,200,21,6.85858585858586,NA,NA
"exp_cut005_cond200_rep022","exponential",5,200,22,7.15151515151515,NA,NA
"exp_cut005_cond200_rep023","exponential",5,200,23,7.44444444444444,NA,NA
"exp_cut005_cond200_rep024","exponential",5,200,24,7.73737373737374,NA,NA
"exp_cut005_cond200_rep025","exponential",5,200,25,8.03030303030303,NA,NA
"exp_cut005_cond200_rep026","exponential",5,200,26,8.32323232323232,NA,NA
"exp_cut005_cond200_rep027","exponential",5,200,27,8.61616161616162,NA,NA
"exp_cut005_cond200_rep028","exponential",5,200,28,8.90909090909091,NA,NA
"exp_cut005_cond200_rep029","exponential",5,200,29,9.2020202020202,NA,NA
"exp_cut005_cond200_rep030","exponential",5,200,30,9.49494949494949,NA,NA
"exp_cut005_cond200_rep031","exponential",5,200,31,9.78787878787879,NA,NA
"exp_cut005_cond200_rep032","exponential",5,200,32,10.0808080808081,NA,NA
"exp_cut005_cond200_rep033","exponential",5,200,33,10.3737373737374,NA,NA
"exp_cut005_cond200_rep034","exponential",5,200,34,10.6666666666667,NA,NA
"exp_cut005_cond200_rep035","exponential",5,200,35,10.959595959596,NA,NA
"exp_cut005_cond200_rep036","exponential",5,200,36,11.2525252525253,NA,NA
"exp_cut005_cond200_rep037","exponential",5,200,37,11.5454545454545,NA,NA
"exp_cut005_cond200_rep038","exponential",5,200,38,11.8383838383838,NA,NA
"exp_cut005_cond200_rep039","exponential",5,200,39,12.1313131313131,NA,NA
"exp_cut005_cond200_rep040","exponential",5,200,40,12.4242424242424,NA,NA
"exp_cut005_cond200_rep041","exponential",5,200,41,12.7171717171717,NA,NA
"exp_cut005_cond200_rep042","exponential",5,200,42,13.010101010101,NA,NA
"exp_cut005_cond200_rep043","exponential",5,200,43,13.3030303030303,NA,NA
"exp_cut005_cond200_rep044","exponential",5,200,44,13.5959595959596,NA,NA
"exp_cut005_cond200_rep045","exponential",5,200,45,13.8888888888889,NA,NA
"exp_cut005_cond200_rep046","exponential",5,200,46,14.1818181818182,NA,NA
"exp_cut005_cond200_rep047","exponential",5,200,47,14.4747474747475,NA,NA
"exp_cut005_cond200_rep048","exponential",5,200,48,14.7676767676768,NA,NA
"exp_cut005_cond200_rep049","exponential",5,200,49,15.0606060606061,NA,NA
"exp_cut005_cond200_rep050","exponential",5,200,50,15.3535353535354,NA,NA
"exp_cut005_cond200_rep051","exponential",5,200,51,15.6464646464646,NA,NA
"exp_cut005_cond200_rep052","exponential",5,200,52,15.9393939393939,NA,NA
"exp_cut005_cond200_rep053","exponential",5,200,53,16.2323232323232,NA,NA
"exp_cut005_cond200_rep054","exponential",5,200,54,16.5252525252525,NA,NA
"exp_cut005_cond200_rep055","exponential",5,200,55,16.8181818181818,NA,NA
"exp_cut005_cond200_rep056","exponential",5,200,56,17.1111111111111,NA,NA
"exp_cut005_cond200_rep057","exponential",5,200,57,17.4040404040404,NA,NA
"exp_cut005_cond200_rep058","exponential",5,200,58,17.6969696969697,NA,NA
"exp_cut005_cond200_rep059","exponential",5,200,59,17.989898989899,NA,NA
"exp_cut005_cond200_rep060","exponential",5,200,60,18.2828282828283,NA,NA
"exp_cut005_cond200_rep061","exponential",5,200,61,18.5757575757576,NA,NA
"exp_cut005_cond200_rep062","exponential",5,200,62,18.8686868686869,NA,NA
"exp_cut005_cond200_rep063","exponential",5,200,63,19.1616161616162,NA,NA
"exp_cut005_cond200_rep064","exponential",5,200,64,19.4545454545455,NA,NA
"exp_cut005_cond200_rep065","exponential",5,200,65,19.7474747474747,NA,NA
"exp_cut005_cond200_rep066","exponential",5,200,66,20.040404040404,NA,NA
"exp_cut005_cond200_rep067","exponential",5,200,67,20.3333333333333,NA,NA
"exp_cut005_cond200_rep068","exponential",5,200,68,20.6262626262626,NA,NA
"exp_cut005_cond200_rep069","exponential",5,200,69,20.9191919191919,NA,NA
"exp_cut005_cond200_rep070","exponential",5,200,70,21.2121212121212,NA,NA
"exp_cut005_cond200_rep071","exponential",5,200,71,21.5050505050505,NA,NA
"exp_cut005_cond200_rep072","exponential",5,200,72,21.7979797979798,NA,NA
"exp_cut005_cond200_rep073","exponential",5,200,73,22.0909090909091,NA,NA
"exp_cut005_cond200_rep074","exponential",5,200,74,22.3838383838384,NA,NA
"exp_cut005_cond200_rep075","exponential",5,200,75,22.6767676767677,NA,NA
"exp_cut005_cond200_rep076","exponential",5,200,76,22.969696969697,NA,NA
"exp_cut005_cond200_rep077","exponential",5,200,77,23.2626262626263,NA,NA
"exp_cut005_cond200_rep078","exponential",5,200,78,23.5555555555556,NA,NA
"exp_cut005_cond200_rep079","exponential",5,200,79,23.8484848484848,NA,NA
"exp_cut005_cond200_rep080","exponential",5,200,80,24.1414141414141,NA,NA
"exp_cut005_cond200_rep081","exponential",5,200,81,24.4343434343434,NA,NA
"exp_cut005_cond200_rep082","exponential",5,200,82,24.7272727272727,NA,NA
"exp_cut005_cond200_rep083","exponential",5,200,83,25.020202020202,NA,NA
"exp_cut005_cond200_rep084","exponential",5,200,84,25.3131313131313,NA,NA
"exp_cut005_cond200_rep085","exponential",5,200,85,25.6060606060606,NA,NA
"exp_cut005_cond200_rep086","exponential",5,200,86,25.8989898989899,NA,NA
"exp_cut005_cond200_rep087","exponential",5,200,87,26.1919191919192,NA,NA
"exp_cut005_cond200_rep088","exponential",5,200,88,26.4848484848485,NA,NA
"exp_cut005_cond200_rep089","exponential",5,200,89,26.7777777777778,NA,NA
"exp_cut005_cond200_rep090","exponential",5,200,90,27.0707070707071,NA,NA
"exp_cut005_cond200_rep091","exponential",5,200,91,27.3636363636364,NA,NA
"exp_cut005_cond200_rep092","exponential",5,200,92,27.6565656565657,NA,NA
"exp_cut005_cond200_rep093","exponential",5,200,93,27.9494949494949,NA,NA
"exp_cut005_cond200_rep094","exponential",5,200,94,28.2424242424242,NA,NA
"exp_cut005_cond200_rep095","exponential",5,200,95,28.5353535353535,NA,NA
"exp_cut005_cond200_rep096","exponential",5,200,96,28.8282828282828,NA,NA
"exp_cut005_cond200_rep097","exponential",5,200,97,29.1212121212121,NA,NA
"exp_cut005_cond200_rep098","exponential",5,200,98,29.4141414141414,NA,NA
"exp_cut005_cond200_rep099","exponential",5,200,99,29.7070707070707,NA,NA
"exp_cut005_cond200_rep100","exponential",5,200,100,30,NA,NA
"exp_cut005_cond300_rep001","exponential",5,300,1,1,NA,NA
